Step	Training Loss
10170	1.772900
10180	1.752500
10190	1.954900
10200	1.812200
10210	1.730100
10220	1.797700
10230	1.859300
10240	1.743700
10250	1.830400
10260	1.787100
10270	1.790700
10280	1.738300
10290	1.809000
10300	1.705000
10310	1.952200
10320	1.720200
10330	1.721700
10340	1.738800
10350	1.790800
10360	1.918400
10370	1.785000
10380	1.703300
10390	1.662500
10400	1.934100
10410	1.776200
10420	1.832800
10430	1.782300
10440	1.793000
10450	1.743000
10460	1.768900
10470	1.706500
10480	1.748400
10490	1.851700
10500	1.906600
10510	1.772700
10520	1.635200
10530	1.810100
10540	1.843900
10550	1.738400
10560	1.813400
10570	1.843800
10580	1.769000
10590	1.824400
10600	1.939700
10610	1.775400
10620	1.708000
10630	1.931800
10640	1.828800
10650	1.737900
10660	1.838000
10670	1.836400
10680	1.854400
10690	1.767100
10700	1.915000
10710	1.763600
10720	1.764300
10730	1.765300
10740	1.762500
10750	1.748100
10760	1.810100
10770	1.859400
10780	1.754800
10790	1.785500
10800	1.789300
10810	1.841800
10820	1.895600
10830	1.740500
10840	1.792400
10850	1.759800
10860	1.803500
10870	1.812100
10880	1.860500
10890	1.741300
10900	1.909200
10910	1.891200
